id,name,description,category_id,group_id,creator_id
0,child_0_1,,category_1_1,group_1,user_1_0
1,child_1_0,,category_1_0,group_0,user_0_9
2,child_2_1,,category_1_1,group_1,user_1_3
3,child_3_0,,category_1_0,group_0,user_0_5
4,child_4_1,,category_1_1,group_1,user_1_1
5,child_5_2,,category_1_2,group_2,user_2_2
6,child_6_2,,category_1_2,group_2,user_2_8
7,child_7_1,,category_1_1,group_1,user_1_9
8,child_8_2,,category_1_2,group_2,user_2_1
9,child_9_1,,category_1_1,group_1,user_1_6
10,child_10_2,,category_1_2,group_2,user_2_6
11,child_11_0,,category_1_0,group_0,user_0_1
12,child_12_0,,category_1_0,group_0,user_0_1
13,child_13_2,,category_1_2,group_2,user_2_7
14,child_14_2,,category_1_2,group_2,user_2_4
15,child_15_0,,category_1_0,group_0,user_0_7
16,child_16_0,,category_1_0,group_0,user_0_1
17,child_17_0,,category_1_0,group_0,user_0_8
18,child_18_0,,category_1_0,group_0,user_0_2
19,child_19_2,,category_1_2,group_2,user_2_6
20,child_20_2,,category_1_2,group_2,user_2_4
21,child_21_0,,category_1_0,group_0,user_0_3
22,child_22_0,,category_1_0,group_0,user_0_2
23,child_23_2,,category_1_2,group_2,user_2_4
24,child_24_1,,category_1_1,group_1,user_1_3
25,child_25_1,,category_1_1,group_1,user_1_7
26,child_26_0,,category_1_0,group_0,user_0_3
27,child_27_1,,category_1_1,group_1,user_1_7
28,child_28_1,,category_1_1,group_1,user_1_2
29,child_29_0,,category_1_0,group_0,user_0_8
30,child_30_2,,category_1_2,group_2,user_2_5
31,child_31_0,,category_1_0,group_0,user_0_0
32,child_32_1,,category_1_1,group_1,user_1_1
33,child_33_1,,category_1_1,group_1,user_1_3
34,child_34_2,,category_1_2,group_2,user_2_2
35,child_35_0,,category_1_0,group_0,user_0_5
36,child_36_1,,category_1_1,group_1,user_1_9
37,child_37_2,,category_1_2,group_2,user_2_1
38,child_38_1,,category_1_1,group_1,user_1_3
39,child_39_0,,category_1_0,group_0,user_0_0
40,parent_0_0,,category_0_0,group_0,user_0_7
41,parent_1_1,,category_0_1,group_1,user_1_9
42,parent_2_0,,category_0_0,group_0,user_0_8
43,parent_3_2,,category_0_2,group_2,user_2_1
44,parent_4_1,,category_0_1,group_1,user_1_1
45,parent_5_1,,category_0_1,group_1,user_1_9
46,parent_6_0,,category_0_0,group_0,user_0_0
47,parent_7_0,,category_0_0,group_0,user_0_5
48,parent_8_1,,category_0_1,group_1,user_1_9
49,parent_9_0,,category_0_0,group_0,user_0_0
50,parent_10_2,,category_0_2,group_2,user_2_1
51,parent_11_2,,category_0_2,group_2,user_2_6
52,parent_12_2,,category_0_2,group_2,user_2_0
53,parent_13_1,,category_0_1,group_1,user_1_6
54,parent_14_2,,category_0_2,group_2,user_2_0
55,parent_15_2,,category_0_2,group_2,user_2_6
56,parent_16_0,,category_0_0,group_0,user_0_3
57,parent_17_0,,category_0_0,group_0,user_0_9
58,parent_18_2,,category_0_2,group_2,user_2_9
59,parent_19_0,,category_0_0,group_0,user_0_4
60,parent_20_2,,category_0_2,group_2,user_2_2
61,parent_21_2,,category_0_2,group_2,user_2_2
62,parent_22_2,,category_0_2,group_2,user_2_5
63,parent_23_2,,category_0_2,group_2,user_2_3
64,parent_24_2,,category_0_2,group_2,user_2_6
65,parent_25_2,,category_0_2,group_2,user_2_2
66,parent_26_0,,category_0_0,group_0,user_0_4
67,parent_27_2,,category_0_2,group_2,user_2_1
68,parent_28_1,,category_0_1,group_1,user_1_9
69,parent_29_1,,category_0_1,group_1,user_1_1
